Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.73,0.12,0,0.804833,0.0724907,0.122677,0.947955,269
0.73,0.13,0,0.778777,0.0899281,0.131295,0.946043,278
0.73,0.14,0,0.767778,0.0844444,0.147778,0.964444,450
0.73,0.15,0,0.78626,0.0572519,0.156489,0.946565,131
0.73,0.16,0,0.737762,0.0821678,0.18007,0.91958,286
0.73,0.17,0,0.709732,0.0855705,0.204698,0.936242,298
0.73,0.18,0,0.735695,0.0912807,0.173025,0.93188,367
0.52,0.16,0,0.615968,0.161463,0.222569,0.846566,1121
0.73,0.19,0,0.712567,0.078877,0.208556,0.92246,374
0.73,0.2,0,0.7,0.0878788,0.212121,0.90303,165
0.73,0.21,0,0.680622,0.0681818,0.251196,0.894737,418
0.73,0.22,0,0.681953,0.0754438,0.242604,0.884615,338
0.73,0.23,0,0.65162,0.09375,0.25463,0.898148,432
0.73,0.24,0,0.656379,0.0823045,0.261317,0.90535,243
0.73,0.25,0,0.594595,0.0777027,0.327703,0.837838,148
0.73,0.26,0,0.631436,0.0921409,0.276423,0.872629,369
0.73,0.27,0,0.628866,0.0945017,0.276632,0.859107,291
0.73,0.28,0,0.622995,0.0748663,0.302139,0.898396,187
0.52,0.17,0.004111,0.635149,0.136177,0.224563,0.864337,973
0.73,0.29,0,0.604286,0.0942857,0.301429,0.842857,350
0.73,0.3,0,0.627596,0.0890208,0.283383,0.854599,337
0.73,0.31,0,0.591935,0.0870968,0.320968,0.841935,310
0.73,0.32,0,0.564267,0.100257,0.335476,0.804627,389
0.73,0.33,0,0.563768,0.0971014,0.33913,0.828986,345
0.73,0.34,0,0.549096,0.0826873,0.368217,0.793282,387
0.73,0.35,0,0.536254,0.0891239,0.374622,0.794562,331
0.73,0.36,0,0.522427,0.0897098,0.387863,0.759894,379
0.73,0.37,0,0.536383,0.0841996,0.379418,0.7921,481
0.73,0.38,0,0.527778,0.0712963,0.400926,0.774074,540
0.52,0.18,0,0.608124,0.152746,0.23913,0.853547,874
0.73,0.39,0,0.494667,0.0906667,0.414667,0.730667,375
0.73,0.4,0,0.527902,0.0825893,0.389509,0.776786,448
0.73,0.41,0,0.465479,0.0890869,0.445434,0.721604,449
0.73,0.42,0,0.473684,0.0886427,0.437673,0.720222,361
0.73,0.43,0,0.465517,0.096817,0.437666,0.724138,377
0.73,0.44,0,0.435331,0.0930599,0.471609,0.687697,317
0.73,0.45,0,0.447368,0.0824561,0.470175,0.687719,285
0.73,0.46,0,0.416459,0.0872818,0.496259,0.670823,401
0.73,0.47,0,0.413377,0.0953947,0.491228,0.644737,456
0.73,0.48,0,0.4375,0.0890957,0.473404,0.667553,376
0.5,0.11,0.00119522,0.650199,0.169721,0.178884,0.8749,1255
0.52,0.19,0,0.5918,0.137701,0.270499,0.831551,1122
0.73,0.49,0,0.417417,0.0930931,0.489489,0.666667,333
0.74,0,0.0849057,0.915094,0,0,0.987421,159
0.74,0.01,0,0.926117,0.0652921,0.00859107,0.996564,291
0.74,0.02,0,0.873762,0.112624,0.0136139,0.985149,404
0.74,0.03,0,0,0,0,0,0
0.74,0.04,0,0,0,0,0,0
0.74,0.05,0,0.869146,0.0716253,0.0592287,0.986226,363
0.74,0.06,0,0.890187,0.0584112,0.0514019,1,214
0.74,0.07,0,0.860377,0.0811321,0.0584906,0.996226,265
0.74,0.08,0,0.807143,0.075,0.117857,0.942857,140
0.52,0.2,0,0.577658,0.15233,0.270012,0.812425,837
0.74,0.09,0,0.804878,0.0777439,0.117378,0.948171,328
0.74,0.1,0,0.784161,0.104037,0.111801,0.965839,322
0.74,0.11,0,0.768293,0.0934959,0.138211,0.963415,246
0.74,0.12,0,0.77,0.0842857,0.145714,0.948571,350
0.74,0.13,0,0.740196,0.109477,0.150327,0.928105,306
0.74,0.14,0,0.753676,0.121324,0.125,0.919118,136
0.74,0.15,0,0.768421,0.0605263,0.171053,0.944737,380
