Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.72,0.037,0,0.65437,0,0.34563,0.881786,4771
0.72,0.038,0,0.582871,0,0.417129,0.826152,4688
0.72,0.039,0,0.605532,0,0.394468,0.846138,4790
0.72,0.04,0,0.730322,0,0.269678,0.928972,4815
0.72,0.041,0,0.575605,0,0.424395,0.825026,4755
0.72,0.042,0,0.603689,0,0.396311,0.837015,4798
0.72,0.043,0,0.489969,0,0.510031,0.738349,4785
0.72,0.044,0,0.622,0,0.378,0.862242,4791
0.72,0.045,0,0.543969,0,0.456031,0.793263,4958
0.72,0.046,0,0.788887,0,0.211113,0.959926,4841
0.52,0.014,0,0.825959,0,0.174041,0.97008,4746
0.72,0.047,0,0.502672,0,0.497328,0.754573,4865
0.72,0.048,0,0.491777,0,0.508223,0.748696,4986
0.72,0.049,0,0.674337,0,0.325663,0.89791,4976
0.72,0.05,0,0.468566,0,0.531434,0.708444,4915
0.73,0,0,1,0,0,1,4685
0.73,0.001,0,0.908392,0,0.0916078,0.992937,4814
0.73,0.002,0,0.969366,0,0.0306339,0.998304,4717
0.73,0.003,0,0.910568,0,0.0894317,0.991612,4769
0.73,0.004,0,1,0,0,1,4844
0.73,0.005,0,1,0,0,1,4693
0.52,0.015,0,0.805368,0,0.194632,0.957946,4732
0.73,0.006,0,0.939576,0,0.0604236,0.99647,4816
0.73,0.007,0,0.943215,0,0.0567853,0.997104,4834
0.73,0.008,0,0.815231,0,0.184769,0.968487,4760
0.73,0.009,0,0.779638,0,0.220362,0.952878,4690
0.73,0.01,0,0.911018,0,0.0889822,0.990346,4765
0.73,0.011,0,0.89732,0,0.10268,0.98866,4850
0.73,0.012,0,0.848463,0,0.151537,0.978604,4814
0.73,0.013,0,0.82479,0,0.17521,0.970798,4760
0.73,0.014,0,0.71601,0,0.28399,0.922123,4597
0.73,0.015,0,0.912614,0,0.0873859,0.992355,4709
0.52,0.016,0,0.779897,0,0.220103,0.950279,4666
0.73,0.016,0,0.83781,0,0.16219,0.969653,4877
0.73,0.017,0,0.822001,0,0.177999,0.969639,4677
0.73,0.018,0,0.713316,0,0.286684,0.915535,4641
0.73,0.019,0,0.900879,0,0.0991213,0.991642,4666
0.73,0.02,0,0.705505,0,0.294495,0.908461,4905
0.73,0.021,0,0.954985,0,0.0450147,0.996845,4754
0.73,0.022,0,0.799551,0,0.200449,0.955575,4682
0.73,0.023,0,0.754357,0,0.245643,0.943573,4590
0.73,0.024,0,0.721094,0,0.278906,0.925799,4973
0.73,0.025,0,0.729363,0,0.270637,0.931661,4785
0.5,0.011,0,0.839301,0,0.160699,0.975712,4776
0.52,0.017,0,0.673555,0,0.326445,0.895538,4863
0.73,0.026,0,0.782414,0,0.217586,0.950676,4805
0.73,0.027,0,0.760842,0,0.239158,0.947704,4704
0.73,0.028,0,0.827267,0,0.172733,0.968594,4808
0.73,0.029,0,0.802868,0,0.197132,0.955908,4672
0.73,0.03,0,0.869077,0,0.130923,0.982901,4854
0.73,0.031,0,0.593152,0,0.406848,0.839301,4804
0.73,0.032,0,0.730251,0,0.269749,0.92648,4747
0.73,0.033,0,0.847795,0,0.152205,0.974029,4967
0.73,0.034,0,0.699836,0,0.300164,0.912302,4869
0.73,0.035,0,0.515992,0,0.484008,0.766397,4940
0.52,0.018,0,0.740134,0,0.259866,0.932518,5068
0.73,0.036,0,0.67964,0,0.32036,0.899142,4779
0.73,0.037,0,0.72468,0,0.27532,0.920628,4838
0.73,0.038,0,0.775083,0,0.224917,0.947968,4824
0.73,0.039,0,0.505207,0,0.494793,0.754952,4897
0.73,0.04,0,0.615321,0,0.384679,0.85735,4830
0.73,0.041,0,0.472898,0,0.527102,0.714963,4852
0.73,0.042,0,0.642796,0,0.357204,0.87307,4664
0.73,0.043,0,0.639761,0,0.360239,0.86891,4844
0.73,0.044,0,0.717086,0,0.282914,0.914998,4694
0.73,0.045,0,0.619068,0,0.380932,0.848977,4741
0.52,0.019,0,0.594236,0,0.405764,0.833713,4823
0.73,0.046,0,0.775044,0,0.224956,0.947082,4592
0.73,0.047,0,0.601293,0,0.398707,0.844882,4719
0.73,0.048,0,0.51061,0,0.48939,0.756397,4807
0.73,0.049,0,0.620742,0,0.379258,0.856884,4961
0.73,0.05,0,0.59886,0,0.40114,0.846425,4825
0.74,0,0,1,0,0,1,4824
0.74,0.001,0,1,0,0,1,4894
0.74,0.002,0,0.984351,0,0.0156486,1,4633
0.74,0.003,0,0.945334,0,0.0546664,0.996466,4811
0.74,0.004,0,0.98951,0,0.0104895,1,4719
0.52,0.02,0,0.701969,0,0.298031,0.9141,4773
0.74,0.005,0,0.868796,0,0.131204,0.984503,4775
0.74,0.006,0,0.972084,0,0.0279156,0.999173,4836
0.74,0.007,0,0.815412,0,0.184588,0.96479,4743
0.74,0.008,0,0.919358,0,0.0806417,0.9949,4706
0.74,0.009,0,0.965872,0,0.0341278,0.9987,4615
0.74,0.01,0,0.851418,0,0.148582,0.975911,4691
0.74,0.011,0,0.921315,0,0.0786855,0.994609,4823
0.74,0.012,0,0.804654,0,0.195346,0.959584,4899
0.74,0.013,0,0.94865,0,0.0513502,0.998893,4518
0.74,0.014,0,0.892116,0,0.107884,0.988467,4769
0.52,0.021,0,0.739232,0,0.260768,0.929557,4713
0.74,0.015,0,0.773394,0,0.226606,0.954487,4702
0.74,0.016,0,0.873446,0,0.126554,0.981354,4666
0.74,0.017,0,0.748908,0,0.251092,0.934471,4807
0.74,0.018,0,0.822567,0,0.177433,0.969142,4861
0.74,0.019,0,0.935752,0,0.0642483,0.994537,4576
0.74,0.02,0,0.736864,0,0.263136,0.931209,4739
0.74,0.021,0,0.871222,0,0.128778,0.98323,4830
0.74,0.022,0,0.724541,0,0.275459,0.926544,4792
0.74,0.023,0,0.755409,0,0.244591,0.936534,4853
0.74,0.024,0,0.685049,0,0.314951,0.897463,4769
0.52,0.022,0,0.613569,0,0.386431,0.850484,5063
0.74,0.025,0,0.695266,0,0.304734,0.907227,4732
0.74,0.026,0,0.847906,0,0.152094,0.982081,4632
0.74,0.027,0,0.653423,0,0.346577,0.871097,4996
0.74,0.028,0,0.657995,0,0.342005,0.878871,4747
0.74,0.029,0,0.739376,0,0.260624,0.931431,4871
0.74,0.03,0,0.726021,0,0.273979,0.921979,4973
0.74,0.031,0,0.529283,0,0.470717,0.778241,4798
0.74,0.032,0,0.722056,0,0.277944,0.921288,4688
0.74,0.033,0,0.694667,0,0.305333,0.912205,4875
0.74,0.034,0,0.675396,0,0.324604,0.894407,4792
0.52,0.023,0,0.683918,0,0.316082,0.902163,4763
0.74,0.035,0,0.798743,0,0.201257,0.960429,4852
0.74,0.036,0,0.808084,0,0.191916,0.962737,4911
0.74,0.037,0,0.536287,0,0.463713,0.794515,4740
0.74,0.038,0,0.703035,0,0.296965,0.907663,4711
0.74,0.039,0,0.757808,0,0.242192,0.935443,4771
0.74,0.04,0,0.625262,0,0.374738,0.861099,4766
0.74,0.041,0,0.585568,0,0.414432,0.823746,4885
0.74,0.042,0,0.588639,0,0.411361,0.834391,4885
0.74,0.043,0,0.680275,0,0.319725,0.902729,4801
0.74,0.044,0,0.550612,0,0.449388,0.806622,4742
0.52,0.024,0,0.731793,0,0.268207,0.926759,4847
0.74,0.045,0,0.550326,0,0.449674,0.804169,4749
0.74,0.046,0,0.661658,0,0.338342,0.888534,4692
0.74,0.047,0,0.441934,0,0.558066,0.697608,4934
0.74,0.048,0,0.502391,0,0.497609,0.752391,4810
0.74,0.049,0,0.580674,0.0314172,0.387909,0.826561,5045
0.74,0.05,0,0.640137,0,0.359863,0.861105,4831
0.75,0,0,1,0,0,1,4679
0.75,0.001,0,1,0,0,1,4709
0.75,0.002,0,0.958342,0,0.0416581,0.996907,4849
0.75,0.003,0,0.983162,0,0.0168378,0.999795,4870
0.52,0.025,0,0.704847,0,0.295153,0.908281,4601
0.75,0.004,0,0.978095,0,0.0219048,0.999788,4725
0.75,0.005,0,0.999472,0,0.000528318,1,4732
0.75,0.006,0,0.881622,0,0.118378,0.982703,4625
0.75,0.007,0,0.949782,0,0.0502179,0.99834,4819
0.75,0.008,0,0.99832,0,0.00167961,1,4763
0.75,0.009,0,0.85045,0,0.14955,0.979631,4664
0.75,0.01,0,0.887742,0,0.112258,0.987619,4846
0.75,0.011,0,0.779583,0,0.220417,0.959583,4800
0.75,0.012,0,0.868522,0,0.131478,0.980593,4689
0.75,0.013,0,0.975728,0,0.0242718,0.999789,4738
0.52,0.026,0,0.740722,0,0.259278,0.933771,4877
0.75,0.014,0,0.655973,0,0.344027,0.88054,4738
0.75,0.015,0,0.93758,0,0.0624197,0.996146,4670
0.75,0.016,0,0.827237,0,0.172763,0.969273,4784
0.75,0.017,0,0.823285,0,0.176715,0.971879,4694
0.75,0.018,0,0.637754,0,0.362246,0.876411,4871
0.75,0.019,0,0.959382,0,0.0406183,0.998294,4690
0.75,0.02,0,0.794118,0,0.205882,0.955882,4692
0.75,0.021,0,0.820832,0,0.179168,0.966164,4906
0.75,0.022,0,0.658672,0,0.341328,0.886865,4941
0.75,0.023,0,0.82676,0,0.17324,0.96883,4716
0.5,0.012,0,0.734161,0,0.265839,0.929699,4751
0.52,0.027,0,0.706088,0,0.293912,0.909631,4714
0.75,0.024,0,0.582043,0,0.417957,0.824653,4973
0.75,0.025,0,0.865631,0,0.134369,0.981944,4763
0.75,0.026,0,0.772974,0,0.227026,0.949666,4788
0.75,0.027,0,0.668694,0,0.331306,0.886897,4686
0.75,0.028,0,0.655684,0,0.344316,0.886947,4750
0.75,0.029,0,0.776327,0,0.223673,0.947346,4786
0.75,0.03,0,0.694227,0,0.305773,0.905265,4729
0.75,0.031,0,0.666771,0,0.333229,0.887711,4809
0.75,0.032,0,0.678072,0,0.321928,0.893906,4939
0.75,0.033,0,0.734797,0,0.265203,0.93212,4670
0.52,0.028,0,0.700664,0,0.299336,0.907035,4819
0.75,0.034,0,0.706627,0,0.293373,0.916997,4542
0.75,0.035,0,0.722014,0,0.277986,0.919684,4806
